Source ID,Name,Organization,Domain,Source Type,Geography,MVP Priority,URL,Use,Caveats
DS-001,USGS The National Map,USGS,Terrain/elevation/hydro/boundaries,Public official,US,Must,https://www.usgs.gov/nationalmap,Elevation/slope and base layers,"Physical screening only; not survey-grade; check product metadata, scale, accuracy, source date, and third-party notices"
DS-002,FEMA NFHL,FEMA,Flood,Public official,US,Must,https://www.fema.gov/flood-maps/national-flood-hazard-layer,Flood hazard overlay,Effective NFHL screening only; not all flood risk; official use requires FEMA standards and proper base-map accuracy; cite FEMA and state non-endorsement
DS-003,USDA Web Soil Survey/SSURGO,USDA NRCS,Soils,Public official,US,Must,https://websoilsurvey.nrcs.usda.gov/,Soil/septic/ag proxy,"Screening only; not a substitute for site-specific soil, septic, engineering, or permitting review; cite USDA/NRCS and preserve survey/refresh metadata"
DS-004,National Wetlands Inventory,USFWS,Wetlands,Public official,US,Must,https://www.fws.gov/program/national-wetlands-inventory,Wetland/deepwater screening,"Screening only; not jurisdictional delineation, Clean Water Act, permitting, or buildability determination; cite USFWS/NWI and preserve metadata/published-date/project caveats"
DS-005,USGS Water Data APIs,USGS,Water monitoring,Public official,US,Should,https://api.waterdata.usgs.gov/,Streamflow/groundwater/water quality context,Monitoring proximity may be weak proxy
DS-006,EPA ECHO,EPA,Environmental compliance,Public official,US,Should,https://echo.epa.gov/resources/echo-data/about-the-data,Regulated facilities/violations/enforcement,Nearby facility does not prove subject contamination
DS-007,BLM MLRS,BLM,Mineral/land records,Public official,Federal lands/US,Later,https://www.blm.gov/services/land-records/mlrs,Mining claims/public land records,Does not resolve private mineral rights
DS-008,USGS MRDS,USGS,Minerals,Public/stale official,US/global selected,Later,https://mrdata.usgs.gov/mrds/,Mineral occurrence screening,"Historical mineral-occurrence screening only; systematic updates ceased in 2011; no mineral-rights, mine-hazard, resource-value, extraction, environmental-liability, investment, or buildability conclusions"
DS-009,National Zoning Atlas,NZA,Zoning,Nonprofit/open where available,US partial,Could,https://www.zoningatlas.org/,Zoning baseline where available,Coverage incomplete
DS-010,County GIS parcels,County,Parcels,Local official/varies,County,Must,Varies,Parcel geometry and local attributes,Approximate; not survey
DS-011,County assessor,County,Assessor/tax,Local official,County,Must,Varies,"Assessed value, tax year, situs",Schema/access varies
DS-012,County recorder,County,Deeds/easements,Local official,County,Should,Varies,"Recorded documents, easements, covenants",Often manual/search-limited
DS-013,State well logs,State agency,Water/wells,State official,State,Should,Varies,Nearby well context,May not prove viability
DS-014,State water rights,State agency,Water rights,State official,State,Later,Varies,Legal water-use screening,Complex and jurisdiction-specific
DS-015,State geological survey,State agency,Geology/minerals,State official,State,Later,Varies,Geologic hazards/resources,Varies by state
DS-016,OpenStreetMap/Overture,OSM/Overture,Roads/buildings/base map,Open community/open data,Global,Should,https://www.openstreetmap.org/,Access/infrastructure proxy,Not authoritative for legal access
DS-017,Commercial parcel vendor,Vendor,Parcels/ownership,Commercial,US/Canada or broader,Must,TBD,Normalized parcel/ownership data,License/cost blocker
DS-018,Commercial comps/listings vendor,Vendor,Market,Commercial,Varies,Should,TBD,Market context,License/cost/export blocker
DS-019,Commercial zoning vendor,Vendor,Zoning,Commercial,Varies,Could,TBD,Normalized zoning/allowed uses,Must verify with official local sources
DS-020,NOAA climate/weather,NOAA,Climate/weather,Public official,US,Later,https://www.noaa.gov/,Climate history/context,Not full forward-looking parcel risk
DS-021,FCC Broadband Map,FCC,Broadband,Public official,US,Could,https://broadbandmap.fcc.gov/,Broadband availability proxy,Coverage/provider claims may need verification
DS-022,Census TIGER/ACS,Census,Boundaries/demographics,Public official,US,Later,https://www.census.gov/,Admin boundaries; avoid protected-class scoring,Fair housing care
DS-023,Local zoning ordinance PDFs,County/municipality,Zoning/legal text,Local official,Local,Must,Varies,Allowed use/minimum lot size/overlays,Hard to parse; source/date caveats
DS-024,Title company/manual report,Title company,Title/access/easements,Professional/manual,Parcel,Later,TBD,Verification input,External professional source
DS-025,Surveyor/manual report,Licensed surveyor,Boundary,Professional/manual,Parcel,Later,TBD,Boundary verification,External professional source
